internal_player_id,official_fantasy_player_id,name,country,official_fantasy_position,official_price,qualifier_matches_available,qualifier_minutes,qualifier_starts,qualifier_goals,qualifier_assists,qualifier_clean_sheets,qualifier_cards,recent_nt_minutes,recent_nt_starts,recent_nt_role,last_nt_start_date,set_piece_role,penalty_role,corner_role,free_kick_role,usage_source,usage_source_url,usage_source_checked,usage_confidence,data_quality_flags,notes
brazil-bruno-guimaraes,1361,Bruno Guimarães Rodriguez Moura,Brazil,MID,6.8,17,1343,16,1,1,6,4,1343,16,locked_starter,2025-09-09T23:30:00Z,club_set_piece_context_available,club_penalty_order_2,club_corner_indirect_fk_order_3,club_direct_fk_order_5,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,"Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Set-piece columns carry existing club-performance order hints, not official national-team set-piece duties."
brazil-raphinha,1366,Raphael Dias Belloli,Brazil,MID,8.2,13,1055,12,5,1,4,4,1055,12,locked_starter,2025-09-05T00:30:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,position_conflict|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
brazil-neymar-junior,1369,Neymar da Silva Santos Júnior,Brazil,MID,7.2,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,position_conflict|missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources. Official fantasy position differs from existing model position and is preserved as active future fantasy position.
colombia-yerry-mina,1374,Yerry Mina,Colombia,DEF,4.2,8,456,5,1,0,4,2,456,5,rotation_starter,2025-09-09T23:30:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
colombia-willer-ditta,1379,Willer Ditta,Colombia,DEF,3.7,2,94,1,0,0,1,0,94,1,rotation_starter,2024-10-10T20:00:00Z,,,,,oneFootballQualifierStats,data/oneFootballQualifierRosterSeasonStats.json,2026-05-31,high,estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
colombia-juan-portilla,1385,Juan Portilla,Colombia,MID,4.7,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
colombia-juan-camilo-hernandez,1396,Cucho Hernández,Colombia,FWD,6.3,,,,,,,,,,squad_depth,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
czechia-jindrich-stanrk,1400,Jindrich Stanek,Czechia,GK,4,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence|goalkeeper_without_role_confidence,No qualifier or national-team usage row found in inspected sources.
czechia-david-zima,1405,David Zima,Czechia,DEF,3.9,2,157,1,0,0,1,0,157,1,rotation_starter,2025-03-25T19:45:00Z,,,,,uefaEuropeanQualifiersStats,data/playerNationalTeamPerformance.json,2026-05-31,low,low_role_confidence|estimated_qualifier_minutes,Qualifier usage carried from existing national-team/OneFootball qualifier data; minutes may be estimated from lineup and substitution clocks.
czechia-alexandr-sojka,1411,Alexandr Sojka,Czechia,MID,4.5,,,,,,,,,,unclear,,,,,,,,2026-05-31,missing,missing_usage|source_gap|missing_role_confidence,No qualifier or national-team usage row found in inspected sources.
