official_fantasy_player_id,internal_player_id,name,country,official_fantasy_position,official_price,priority,current_start_probability,current_expected_minutes,current_role_label,current_role_confidence,missing_fields,reason_for_targeting,recommended_action,source_gap_type,repo_evidence_status,planned_import_source_type,notes
2022,morocco-bilal-el-khannouss,Bilal El Khannouss,Morocco,MID,6.2,P1,0.21,23.4,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.21; before_expected_minutes=23.4; club=Stuttgart; club_status=source_verified; club_role_confidence=high; club_minutes=1654; club_starts=19; no_source_backed_nt_starts_or_minutes_in_current_repo
814,netherlands-teun-koopmeiners,Teun Koopmeiners,Netherlands,MID,6.2,P1,0.23,24.7,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.23; before_expected_minutes=24.7; club=Juventus; club_status=source_verified; club_role_confidence=high; club_minutes=1803; club_starts=4; no_source_backed_nt_starts_or_minutes_in_current_repo
1257,thin-47-johnny-cardoso,Johnny Cardoso,USA,MID,6.2,P1,,,blocked,blocked,club_context|club_minutes|club_starts|final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,earlier_high_risk_example|high_price_low_role_confidence|high_price_missing_national_team_usage,keep_blocked_until_selectable_status_and_squad_review_are_resolved,thin_profile,missing_source_gap,missing_source_gap,before_role=blocked; before_start_probability=; before_expected_minutes=; no_source_backed_nt_starts_or_minutes_in_current_repo; thin_profile_no_historical_context_invented; blocked_reasons=blocked_not_selectable|not_selectable|squad_review_status
1292,uzbekistan-abbosbek-fayzullaev,Abbosbek Fayzullaev,Uzbekistan,MID,6.2,P1,0.21,23.4,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,position_or_role_conflict,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.21; before_expected_minutes=23.4; club=CSKA Moscow; club_status=source_verified; club_role_confidence=medium; club_minutes=1107; club_starts=14; no_source_backed_nt_starts_or_minutes_in_current_repo
271,colombia-jorge-carrascal,Jorge Carrascal,Colombia,MID,6.1,P1,0.21,23.4,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.21; before_expected_minutes=23.4; club=Flamengo; club_status=source_verified; club_role_confidence=high; club_minutes=1512; club_starts=17; no_source_backed_nt_starts_or_minutes_in_current_repo
485,england-kobbie-mainoo,Kobbie Mainoo,England,MID,6.1,P1,0.21,23.4,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,missing_source_gap,missing_source_gap,before_role=unclear; before_start_probability=0.21; before_expected_minutes=23.4; club=Manchester United; club_status=source_verified; club_role_confidence=high; club_minutes=1293; club_starts=12; no_source_backed_nt_starts_or_minutes_in_current_repo
813,thin-30-jerdy-schouten,Jerdy Schouten,Netherlands,MID,6.1,P1,,,blocked,blocked,club_context|club_minutes|club_starts|final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage,keep_blocked_until_selectable_status_and_squad_review_are_resolved,thin_profile,missing_source_gap,missing_source_gap,before_role=blocked; before_start_probability=; before_expected_minutes=; no_source_backed_nt_starts_or_minutes_in_current_repo; thin_profile_no_historical_context_invented; blocked_reasons=blocked_not_selectable|not_selectable|squad_review_status
1254,usa-malik-tillman,Malik Tillman,USA,MID,6.1,P1,0.21,23.4,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_role_evidence_only,existing_repo_data,before_role=unclear; before_start_probability=0.21; before_expected_minutes=23.4; club=Bayer Leverkusen; club_status=source_verified; club_role_confidence=high; club_minutes=1681; club_starts=18; no_source_backed_nt_starts_or_minutes_in_current_repo
1255,usa-weston-mckennie,Weston McKennie,USA,MID,6.1,P1,0.23,24.7,unclear,low,final_squad_confirmation|national_team_usage|qualifier_minutes|qualifier_starts,high_price_low_role_confidence|high_price_missing_national_team_usage|high_price_start_probability_below_0.35|strong_club_context_missing_national_team_usage,source_national_team_usage_before_final_minutes_promotion,club_context_available_usage_missing,source_backed_role_evidence_only,existing_repo_data,before_role=unclear; before_start_probability=0.23; before_expected_minutes=24.7; club=Juventus; club_status=source_verified; club_role_confidence=high; club_minutes=2857; club_starts=6; no_source_backed_nt_starts_or_minutes_in_current_repo
1307,uzbekistan-igor-sergeev,Igor Sergeev,Uzbekistan,FWD,6.1,P1,0.08,12.8,squad_depth,low,final_squad_confirmation,high_price_low_role_confidence|high_price_start_probability_below_0.35,keep_existing_conservative_low_confidence_treatment,manual_review_needed,missing_source_gap,missing_source_gap,before_role=squad_depth; before_start_probability=0.08; before_expected_minutes=12.8
